GENE HGNC_GENE
10 NAT2
19 ABCA1
24 ABCA4
28 ABO
87 ACTN1
88 ACTN2
92 ACVR2A
100 ADA
102 ADAM10
103 ADAR
105 ADARB2
115 ADCY9
116 ADCYAP1
135 ADORA2A
146 ADRA1D
177 AGER
181 AGRP
199 AIF1
216 ALDH1A1
217 ALDH2
246 ALOX15
249 ALPL
259 AMBP
262 AMD1
267 AMFR
268 AMH
275 AMT
307 ANXA4
310 ANXA7
312 ANXA13
327 APEH
337 APOA4
338 APOB
341 APOC1
348 APOE
350 APOH
368 ABCC6
372 ARCN1
379 ARL4D
387 RHOA
389 RHOC
390 RND3
406 ARNTL
463 ZFHX3
466 ATF1
473 RERE
481 ATP1B1
490 ATP2B1
491 ATP2B2
496 ATP4B
506 ATP5B
514 ATP5E
516 ATP5G1
522 ATP5J
523 ATP6V1A
525 ATP6V1B1
534 ATP6V1G2
539 ATP5O
563 AZGP1
571 BACH1
572 BAD
593 BCKDHA
595 CCND1
605 BCL7A
607 BCL9
617 BCS1L
627 BDNF
629 CFB
636 BICD1
642 BLMH
649 BMP1
661 POLR3D
662 BNIP1
665 BNIP3L
666 BOK
667 DST
685 BTC
717 C2
720 C4A
721 C4B
732 C8B
733 C8G
744 MPPED2
746 TMEM258
768 CA9
773 CACNA1A
776 CACNA1D
783 CACNB2
788 SLC25A20
790 CAD
816 CAMK2B
817 CAMK2D
818 CAMK2G
829 CAPZA1
846 CASR
857 CAV1
858 CAV2
860 RUNX2
883 CCBL1
889 KRIT1
890 CCNA2
902 CCNH
905 CCNT2
915 CD3D
939 CD27
949 SCARB1
950 SCARB2
955 ENTPD6
957 ENTPD5
965 CD58
995 CDC25C
996 CDC27
1005 CDH7
1012 CDH13
1014 CDH16
1017 CDK2
1021 CDK6
1026 CDKN1A
1029 CDKN2A
1030 CDKN2B
1031 CDKN2C
1058 CENPA
1060 CENPC
1070 CETN3
1071 CETP
1081 CGA
1108 CHD4
1112 FOXN3
1124 CHN2
1131 CHRM3
1132 CHRM4
1136 CHRNA3
1138 CHRNA5
1139 CHRNA7
1143 CHRNB4
1163 CKS1B
1173 AP2M1
1187 CLCNKA
1215 CMA1
1235 CCR6
1241 LTB4R
1282 COL4A1
1284 COL4A2
1286 COL4A4
1290 COL5A2
1306 COL15A1
1307 COL16A1
1311 COMP
1318 SLC31A2
1340 COX6B1
1359 CPA3
1360 CPB1
1369 CPN1
1385 CREB1
1388 ATF6B
1404 HAPLN1
1415 CRYBB2
1417 CRYBB3
1429 CRYZ
1432 MAPK14
1441 CSF3R
1442 CSH1
1455 CSNK1G2
1464 CSPG4
1469 CST1
1488 CTBP2
1495 CTNNA1
1511 CTSG
