GENE HGNC_GENE
1548 CYP2A6
1551 CYP3A7
1577 CYP3A5
1584 CYP11B1
1585 CYP11B2
1586 CYP17A1
1589 CYP21A2
1600 DAB1
1601 DAB2
1605 DAG1
1611 DAP
1615 DARS
1621 DBH
1644 DDC
1657 DMXL1
1659 DHX8
1670 DEFA5
1687 DFNA5
1727 CYB5R3
1731 SEPT1
1733 DIO1
1734 DIO2
1757 SARDH
1759 DNM1
1762 DMWD
1769 DNAH8
1788 DNMT3A
1797 DXO
1806 DPYD
1813 DRD2
1816 DRD5
1819 DRG2
1839 HBEGF
1843 DUSP1
1849 DUSP7
1855 DVL1
1859 DYRK1A
1869 E2F1
1876 E2F6
1879 EBF1
1893 ECM1
1894 ECT2
1901 S1PR1
1909 EDNRA
1917 EEF1A2
1933 EEF1B2
1942 EFNA1
1952 CELSR2
1959 EGR2
1962 EHHADH
1967 EIF2B1
1981 EIF4G1
1996 ELAVL4
2004 ELK3
2018 EMX2
2019 EN1
2021 ENDOG
2028 ENPEP
2033 EP300
2044 EPHA5
2055 CLN8
2060 EPS15
2064 ERBB2
2107 ETF1
2116 ETV2
2118 ETV4
2122 MECOM
2128 EVX1
2130 EWSR1
2132 EXT2
2152 F3
2170 FABP3
2176 FANCC
2184 FAH
2186 BPTF
2201 FBN2
2217 FCGRT
2222 FDFT1
2230 FDX1
2242 FES
2252 FGF7
2253 FGF8
2257 FGF12
2272 FHIT
2280 FKBP1A
2304 FOXE1
2307 FOXS1
2318 FLNC
2339 FNTA
2353 FOS
2526 FUT4
2532 ACKR1
2535 FZD2
2551 GABPA
2557 GABRA4
2565 GABRG1
2582 GALE
2590 GALNT2
2592 GALT
2593 GAMT
2596 GAP43
2631 GBAS
2648 KAT2A
2676 GFRA3
2677 GGCX
2690 GHR
2695 GIP
2696 GIPR
2700 GJA3
2736 GLI2
2738 GLI4
2740 GLP1R
2765 GML
2775 GNAO1
2778 GNAS
2779 GNAT1
2791 GNG11
2798 GNRHR
2801 GOLGA2
2804 GOLGB1
2810 SFN
2811 GP1BA
2869 GRK5
2876 GPX1
2894 GRID1
2907 GRINA
2908 NR3C1
2921 CXCL3
2946 GSTM2
2954 GSTZ1
2961 GTF2E2
2962 GTF2F1
2963 GTF2F2
2967 GTF2H3
2969 GTF2I
2971 GTF3A
2975 GTF3C1
2982 GUCY1A3
3021 H3F3B
3038 HAS3
3047 HBG1
3059 HCLS1
3062 HCRTR2
3068 HDGF
3084 NRG1
3090 HIC1
3092 HIP1
3097 HIVEP2
3106 HLA-B
3110 MNX1
3117 HLA-DQA1
3119 HLA-DQB1
3122 HLA-DRA
3123 HLA-DRB1
3131 HLF
3145 HMBS
3156 HMGCR
3159 HMGA1
3171 FOXA3
3174 HNF4G
3176 HNMT
3178 HNRNPA1
3184 HNRNPD
3200 HOXA3
3201 HOXA4
3209 HOXA13
3218 HOXB8
3221 HOXC4
3222 HOXC5
3223 HOXC6
3224 HOXC8
3225 HOXC9
3231 HOXD1
3234 HOXD8
3276 PRMT1
3300 DNAJB2
3313 HSPA9
3340 NDST1
3344 FOXN2
3355 HTR1F
3400 ID4
3439 IFNA1
3444 IFNA7
3460 IFNGR2
3535 IGL
3556 IL1RAP
3559 IL2RA
3569 IL6
3570 IL6R
3579 CXCR2
3590 IL11RA
3600 IL15
3608 ILF2
3614 IMPDH1
3631 INPP4A
3633 INPP5B
3656 IRAK2
3658 IREB2
3673 ITGA2
3683 ITGAL
3687 ITGAX
3693 ITGB5
3697 ITIH1
3699 ITIH3
3700 ITIH4
3708 ITPR1
3725 JUN
3743 KCNA7
3744 KCNA10
3757 KCNH2
3761 KCNJ4
3766 KCNJ10
3768 KCNJ12
3777 KCNK3
3795 KHK
3805 KIR2DL4
3832 KIF11
3840 KPNA4
3899 AFF3
3902 LAG3
3906 LALBA
3908 LAMA2
3953 LEPR
3957 LGALS2
3964 LGALS8
3988 LIPA
3990 LIPC
3992 FADS1
4004 LMO1
4010 LMX1B
4014 LOR
4016 LOXL1
4018 LPA
4023 LPL
4046 LSP1
4047 LSS
4049 LTA
4050 LTB
4058 LTK
4082 MARCKS
4084 MXD1
4088 SMAD3
4091 SMAD6
4092 SMAD7
4140 MARK3
4143 MAT1A
4144 MAT2A
4150 MAZ
4166 CHST6
4170 MCL1
4176 MCM7
4191 MDH2
4208 MEF2C
4209 MEF2D
4212 MEIS2
4214 MAP3K1
4215 MAP3K3
4217 MAP3K5
4233 MET
4239 MFAP4
4245 MGAT1
4291 MLF1
4298 MLLT1
4299 AFF1
4300 MLLT3
4302 MLLT6
4306 NR3C2
4323 MMP14
4324 MMP15
4338 MOCS2
4343 MOV10
4485 MST1
4486 MST1R
4542 MYO1F
4580 MTX1
4582 MUC1
4607 MYBPC3
4629 MYH11
4635 MYL4
4641 MYO1C
4645 MYO5B
4656 MYOG
4666 NACA
4668 NAGA
4670 HNRNPM
4690 NCK1
4691 NCL
4701 NDUFA7
4704 NDUFA9
4718 NDUFC2
4719 NDUFS1
4744 NEFH
4760 NEUROD1
4761 NEUROD2
4771 NF2
4774 NFIA
4776 NFATC4
4784 NFIX
4795 NFKBIL1
4801 NFYB
4808 NHLH2
4811 NID1
4817 NIT1
4828 NMB
4831 NME2
4836 NMT1
4839 NOP2
4846 NOS3
4848 CNOT2
4855 NOTCH4
4864 NPC1
4882 NPR2
4891 SLC11A2
4892 NRAP
4919 ROR1
4928 NUP98
4973 OLR1
4975 OMP
4978 OPCML
4982 TNFRSF11B
4985 OPRD1
4998 ORC1
5000 ORC4
5015 OTX2
5028 P2RY1
5029 P2RY2
5033 P4HA1
5034 P4HB
5052 PRDX1
5069 PAPPA
5071 PARK2
5095 PCCA
5097 PCDH1
5116 PCNT
5122 PCSK1
5129 CDK18
5137 PDE1C
5142 PDE4B
5151 PDE8A
5157 PDGFRL
5176 SERPINF1
5188 GATB
5189 PEX1
5202 PFDN2
5208 PFKFB2
5239 PGM5
5269 SERPINB6
5289 PIK3C3
5295 PIK3R1
5308 PITX2
5314 PKHD1
5318 PKP2
5326 PLAGL2
5328 PLAU
5331 PLCB3
5336 PLCG2
5338 PLD2
5339 PLEC
5361 PLXNA1
5364 PLXNB1
5366 PMAIP1
5376 PMP22
5393 EXOSC9
5409 PNMT
5412 UBL3
5414 SEPT4
5441 POLR2L
5443 POMC
5445 PON2
5457 POU4F1
5458 POU4F2
5462 POU5F1B
5467 PPARD
5469 MED1
5480 PPIC
5498 PPOX
5500 PPP1CB
5520 PPP2R2A
5523 PPP2R3A
5525 PPP2R5A
5533 PPP3CC
5534 PPP3R1
5557 PRIM1
5576 PRKAR2A
5580 PRKCD
5587 PRKD1
5590 PRKCZ
5594 MAPK1
5596 MAPK4
5597 MAPK6
5598 MAPK7
5607 MAP2K5
5610 EIF2AK2
5652 PRSS8
5686 PSMA5
5691 PSMB3
5694 PSMB6
5708 PSMD2
5713 PSMD7
5719 PSMD13
5720 PSME1
5723 PSPH
5781 PTPN11
5796 PTPRK
5797 PTPRM
5798 PTPRN
5817 PVR
5826 ABCD4
5833 PCYT2
5834 PYGB
5837 PYGM
5865 RAB3B
5868 RAB5A
5869 RAB5B
5875 RABGGTA
5878 RAB5C
5879 RAC1
5887 RAD23B
5889 RAD51C
5891 MOK
5905 RANGAP1
5911 RAP2A
5912 RAP2B
5915 RARB
5917 RARS
5918 RARRES1
5928 RBBP4
5949 RBP3
5955 RCN2
5968 REG1B
5986 RFNG
5987 TRIM27
5988 RFPL1
5991 RFX3
5992 RFX4
6001 RGS10
6018 RLF
6048 RNF5
6095 RORA
6128 RPL6
6132 RPL8
6133 RPL9
6135 RPL11
6143 RPL19
6150 MRPL23
6161 RPL32
6189 RPS3A
6193 RPS5
6198 RPS6KB1
6203 RPS9
6217 RPS16
6227 RPS21
6228 RPS23
6236 RRAD
6241 RRM2
6261 RYR1
6272 SORT1
6284 S100A13
6285 S100B
6311 ATXN2
6320 CLEC11A
6323 SCN1A
6326 SCN2A
6328 SCN3A
6335 SCN9A
6362 CCL18
6363 CCL19
6390 SDHB
6403 SELP
6404 SELPLG
6405 SEMA3F
6428 SRSF3
6439 SFTPB
6453 ITSN1
6457 SH3GL3
6461 SHB
6470 SHMT1
6492 SIM1
6493 SIM2
6497 SKI
6499 SKIV2L
6502 SKP2
6512 SLC1A7
6532 SLC6A4
6541 SLC7A1
6546 SLC8A1
6559 SLC12A3
6571 SLC18A2
6580 SLC22A1
6583 SLC22A4
6584 SLC22A5
6598 SMARCB1
6602 SMARCD1
6604 SMARCD3
6610 SMPD2
6626 SNRPA
6631 SNRPC
6636 SNRPF
6637 SNRPG
6638 SNRPN
6640 SNTA1
6649 SOD3
6671 SP4
6677 SPAM1
6693 SPN
6695 SPOCK1
6720 SREBF1
6721 SREBF2
6729 SRP54
6738 TROVE2
6746 SSR2
6770 STAR
6774 STAT3
6782 HSPA13
6787 NEK4
6801 STRN
6804 STX1A
6810 STX4
6812 STXBP1
6829 SUPT5H
6834 SURF1
6836 SURF4
6837 MED22
6838 SURF6
6840 SVIL
6876 TAGLN
6877 TAF5
6878 TAF6
6885 MAP3K7
6909 TBX2
6911 TBX6
6916 TBXAS1
6926 TBX3
6927 HNF1A
6947 TCN1
6964 TRD
6988 TCTA
7003 TEAD1
7021 TFAP2B
7024 TFCP2
7040 TGFB1
7042 TGFB2
7046 TGFBR1
7067 THRA
7072 TIA1
7073 TIAL1
7074 TIAM1
7079 TIMP4
7084 TK2
7091 TLE4
7094 TLN1
7124 TNF
7134 TNNC1
7140 TNNT3
7145 TNS1
7148 TNXB
7157 TP53
7169 TPM2
7170 TPM3
7185 TRAF1
7187 TRAF3
7227 TRPS1
7248 TSC1
7253 TSHR
7273 TTN
7291 TWIST1
7292 TNFSF4
7296 TXNRD1
7297 TYK2
7301 TYRO3
7318 UBA7
7325 UBE2E2
7342 UBP1
7357 UGCG
7366 UGT2B15
7373 COL14A1
7380 UPK3A
7385 UQCRC2
7389 UROD
7407 VARS
7423 VEGFB
7432 VIP
7466 WFS1
7478 WNT8A
7481 WNT11
7482 WNT2B
7484 WNT9B
7490 WT1
7494 XBP1
7525 YES1
7531 YWHAE
7532 YWHAG
7538 ZFP36
7546 ZIC2
7551 ZNF3
7564 ZNF16
7572 ZNF24
7581 ZNF33A
7586 ZKSCAN1
7587 ZNF37A
7593 MZF1
7620 ZNF69
7625 ZNF74
7690 ZNF131
7692 ZNF133
7701 ZNF142
7703 PCGF2
7709 ZBTB17
7730 ZNF177
7755 ZNF205
7760 ZNF213
7784 ZP3
7802 DNALI1
7818 DAP3
7840 ALMS1
7844 RNF103
7884 SLBP
7916 PRRC2A
7917 BAG6
7918 GPANK1
7919 DDX39B
7932 OR2H2
7936 NELFE
7940 LST1
7942 TFEB
7957 EPM2A
7978 MTERF1
8019 BRD3
8021 NUP214
8022 LHX3
8028 MLLT10
8038 ADAM12
8045 RASSF7
8050 PDHX
8099 CDK2AP1
8120 AP3B2
8190 MIA
8204 NRIP1
8312 AXIN1
8315 BRAP
8328 GFI1B
8343 HIST1H2BF
8344 HIST1H2BE
8345 HIST1H2BH
8351 HIST1H3D
8353 HIST1H3E
8365 HIST1H4H
8369 HIST1H4G
8379 MAD1L1
8382 NME5
8399 PLA2G10
8405 SPOP
8445 DYRK2
8446 DUSP11
8451 CUL4A
8456 FOXN1
8458 TTF2
8462 KLF11
8464 SUPT3H
8470 SORBS2
8497 PPFIA4
8499 PPFIA2
8503 PIK3R3
8508 NIPSNAP1
8509 NDST2
8518 IKBKAP
8520 HAT1
8522 GAS7
8527 DGKD
8529 CYP4F2
8538 BARX2
8539 API5
8546 AP3B1
8548 BLZF1
8550 MAPKAPK5
8562 DENR
8563 THOC5
8566 PDXK
8567 MADD
8577 TMEFF1
8603 FAM193A
8604 SLC25A12
8613 PPAP2B
8618 CADPS
8624 PSMG1
8630 HSD17B6
8637 EIF4EBP3
8661 EIF3A
8671 SLC4A4
8673 VAMP8
8697 CDC23
8702 B4GALT4
8707 B3GALT2
8715 NOL4
8722 CTSF
8728 ADAM19
8731 RNMT
8745 ADAM23
8748 ADAM20
8749 ADAM18
8756 ADAM7
8771 TNFRSF6B
8780 RIOK3
8788 DLK1
8800 PEX11A
8816 DCAF5
8824 CES2
8834 TMEM11
8842 PROM1
8850 KAT2B
8858 PROZ
8859 STK19
8869 ST3GAL5
8872 CDC123
8875 VNN2
8881 CDC16
8882 ZPR1
8884 SLC5A6
8887 TAX1BP1
8893 EIF2B5
8896 BUD31
8899 PRPF4B
8906 AP1G2
8915 BCL10
8927 BSN
8932 MBD2
8942 KYNU
8974 P4HA2
8988 HSPB3
8993 PGLYRP1
9015 TAF1A
9023 CH25H
9026 HIP1R
9027 NAT8
9028 RHBDL1
9032 TM4SF5
9039 UBA3
9046 DOK2
9056 SLC7A7
9099 USP2
9110 MTMR4
9118 INA
9125 RQCD1
9129 PRPF3
9132 KCNQ4
9139 CBFA2T2
9141 PDCD5
9148 NEURL1
9154 SLC28A1
9162 DGKI
9167 COX7A2L
9175 MAP3K13
9179 AP4M1
9181 ARHGEF2
9191 DEDD
9209 LRRFIP2
9219 MTA2
9228 DLGAP2
9230 RAB11B
9249 DHRS3
9256 BZRAP1
9262 STK17B
9265 CYTH3
9267 CYTH1
9294 S1PR2
9295 SRSF11
9308 CD83
9311 ASIC3
9317 PTER
9318 COPS2
9326 ZNHIT3
9340 GLP2R
9344 TAOK2
9353 SLIT2
9354 UBE4A
9358 ITGBL1
9362 CPNE6
9374 PPT2
9378 NRXN1
9389 SLC22A14
9415 FADS2
9420 CYP7B1
9422 ZNF264
9466 IL27RA
9472 AKAP6
9497 SLC4A7
9498 SLC4A8
9499 MYOT
9507 ADAMTS4
9510 ADAMTS1
9517 SPTLC2
9518 GDF15
9529 BAG5
9531 BAG3
9551 ATP5J2
9564 BCAR1
9567 GTPBP1
9569 GTF2IRD1
9570 GOSR2
9572 NR1D1
9603 NFE2L3
9610 RIN1
9611 NCOR1
9625 AATK
9632 SEC24C
9636 ISG15
9640 ZNF592
9644 SH3PXD2A
9646 CTR9
9651 PLCH2
9657 IQCB1
9666 DZIP3
9673 SLC25A44
9674 KIAA0040
9688 NUP93
9690 UBE3C
9692 KIAA0391
9694 EMC2
9696 CROCC
9712 USP6NL
9715 FAM131B
9716 AQR
9718 ECE2
9720 CCDC144A
9726 ZNF646
9727 RAB11FIP3
9728 SECISBP2L
9739 SETD1A
9745 ZNF536
9749 PHACTR2
9757 KMT2B
9759 HDAC4
9776 ATG13
9782 MATR3
9792 SERTAD2
9805 SCRN1
9807 IP6K1
9811 CTIF
9819 TSC22D2
9827 RGP1
9828 ARHGEF17
9830 TRIM14
9837 GINS1
9839 ZEB2
9851 KIAA0753
9861 PSMD6
9881 TRANK1
9885 OSBPL2
9895 TECPR2
9896 FIG4
9899 SV2B
9905 SGSM2
9917 FAM20B
9923 ZBTB40
9929 JOSD1
9955 HS3ST3A1
9961 MVP
9963 SLC23A1
9970 NR1I3
9989 PPP4R1
10001 MED6
10005 ACOT8
10016 PDCD6
10018 BCL2L11
10019 SH2B3
10023 FRAT1
10061 ABCF2
10062 NR1H3
10087 COL4A3BP
10089 KCNK7
10095 ARPC1B
10110 SGK2
10112 KIF20A
10130 PDIA6
10139 ARFRP1
10153 CEBPZ
10154 PLXNC1
10155 TRIM28
10174 SORBS3
10180 RBM6
10181 RBM5
10195 ALG3
10199 MPHOSPH10
10213 PSMD14
10235 RASGRP2
10237 SLC35B1
10240 MRPS31
10249 GLYAT
10253 SPRY2
10260 DENND4A
10269 ZMPSTE24
10279 PRSS16
10284 SAP18
10290 SPEG
10293 TRAIP
10295 BCKDK
10316 NMUR1
10327 AKR1A1
10330 CNPY2
10335 MRVI1
10363 HMG20A
10367 MICU1
10381 TUBB3
10400 PEMT
10407 SPAG11B
10421 CD2BP2
10425 ARIH2
10428 CFDP1
10439 OLFM1
10452 TOMM40
10456 HAX1
10458 BAIAP2
10460 TACC3
10476 ATP5H
10477 UBE2E3
10483 SEC23B
10485 C1orf61
10488 CREB3
10491 CRTAP
10521 DDX17
10524 KAT5
10541 ANP32B
10552 ARPC1A
10554 AGPAT1
10570 DPYSL4
10584 COLEC10
10590 SCGN
10591 DNPH1
10598 AHSA1
10600 USP16
10611 PDLIM5
10614 HEXIM1
10617 STAMBP
10621 POLR3F
10622 POLR3G
10623 POLR3C
10626 TRIM16
10632 ATP5L
10634 GAS2L1
10642 IGF2BP1
10665 C6orf10
10667 FARS2
10669 CGREF1
10713 USP39
10716 TBR1
10717 AP4B1
10724 MGEA5
10725 NFAT5
10726 NUDC
10728 PTGES3
10730 YME1L1
10734 STAG3
10741 RBBP9
10743 RAI1
10745 PHTF1
10749 KIF1C
10750 GRAP
10762 NUP50
10763 NES
10777 ARPP21
10781 ZNF266
10791 VAMP5
10840 ALDH1L1
10850 CCL27
10856 RUVBL2
10858 CYP46A1
10864 SLC22A7
10894 LYVE1
10898 CPSF4
10900 RUNDC3A
10902 BRD8
10905 MAN1A2
10912 GADD45G
10915 TCERG1
10919 EHMT2
10942 PRSS21
10949 HNRNPA0
10952 SEC61B
10961 ERP29
10973 ASCC3
10982 MAPRE2
10993 SDS
10998 SLC27A5
10999 SLC27A4
11015 KDELR3
11017 SNRNP27
11030 RBPMS
11036 GTF2A1L
11045 UPK1A
11052 CPSF6
11060 WWP2
11077 HSF2BP
11093 ADAMTS13
11094 CACFD1
11117 EMILIN1
11136 SLC7A9
11140 CDC37
11144 DMC1
11151 CORO1A
11155 LDB3
11157 LSM6
11177 BAZ1A
11182 SLC2A6
11184 MAP4K1
11194 ABCB8
11196 SEC23IP
11200 CHEK2
11214 AKAP13
11234 HPS5
11243 PMF1
11264 PXMP4
11267 SNF8
11277 TREX1
11280 SCN11A
11281 POU6F2
11284 PNKP
11319 ECD
11320 MGAT4A
11322 TMC6
11333 PDAP1
22800 RRAS2
22801 ITGA11
22802 CLCA4
22803 XRN2
22809 ATF5
22843 PPM1E
22844 FRMPD1
22853 LMTK2
22859 ADGRL1
22863 ATG14
22884 WDR37
22891 ZNF365
22905 EPN2
22909 FAN1
22918 CD93
22924 MAPRE3
22934 RPIA
22978 NT5C2
22984 PDCD11
22986 SORCS3
22989 MYH15
22993 HMGXB3
22996 TTC39A
22997 IGSF9B
22998 LIMCH1
23013 SPEN
23022 PALLD
23023 TMCC1
23026 MYO16
23034 SAMD4A
23036 ZNF292
23039 XPO7
23042 PDXDC1
23053 ZSWIM8
23054 NCOA6
23063 WAPAL
23066 CAND2
23070 CMTR1
23071 ERP44
23075 SWAP70
23076 RRP1B
23090 ZNF423
23102 TBC1D2B
23107 MRPS27
23112 TNRC6B
23122 CLASP2
23125 CAMTA2
23139 MAST2
23143 LRCH1
23150 FRMD4B
23160 WDR43
23166 STAB1
23177 CEP68
23181 DIP2A
23184 MESDC2
23196 FAM120A
23208 SYT11
23211 ZC3H4
23217 ZFR2
23228 PLCL2
23231 SEL1L3
23234 DNAJC9
23245 ASTN2
23247 KIAA0556
23248 RPRD2
23285 KIAA1107
23287 AGTPBP1
23293 SMG6
23295 MGRN1
23301 EHBP1
23302 WSCD1
23316 CUX2
23318 ZCCHC11
23321 TRIM2
23322 RPGRIP1L
23327 NEDD4L
23353 SUN1
23368 PPP1R13B
23370 ARHGEF18
23373 CRTC1
23384 SPECC1L
23387 SIK3
23389 MED13L
23403 FBXO46
23431 AP4E1
23468 CBX5
23475 QPRT
23478 SEC11A
23479 ISCU
23481 PES1
23491 CES3
23509 POFUT1
23512 SUZ12
23516 SLC39A14
23519 ANP32D
23524 SRRM2
23527 ACAP2
23532 PRAME
23544 SEZ6L
23554 TSPAN12
23556 PIGN
23569 PADI4
23583 SMUG1
23616 SH3BP1
23623 RUSC1
23636 NUP62
23659 PLA2G15
23660 ZKSCAN5
23683 PRKD3
23705 CADM1
23710 GABARAPL1
23731 TMEM245
23732 FRRS1L
23743 BHMT2
23769 FLRT1
23784 POTEH
24149 ZNF318
25770 C22orf31
25780 RASGRP3
25797 QPCT
25807 RHBDD3
25825 BACE2
25837 RAB26
25840 METTL7A
25858 TEX40
25862 USP49
25870 SUMF2
25873 RPL36
25875 LETMD1
25879 DCAF13
25885 POLR1A
25932 CLIC4
25934 NIPSNAP3A
25943 C20orf194
25959 KANK2
25961 NUDT13
25972 UNC50
25974 MMACHC
25987 TSKU
26000 TBC1D10B
26010 SPATS2L
26024 PTCD1
26031 OSBPL3
26045 LRRTM2
26046 LTN1
26048 ZNF500
26057 ANKRD17
26084 ARHGEF26
26090 ABHD12
26097 CHTOP
26100 WIPI2
26136 TES
26137 ZBTB20
26153 KIF26A
26157 GIMAP2
26164 MTG2
26173 INTS1
26189 OR1A2
26228 STAP1
26234 FBXL5
26249 KLHL3
26266 SLC13A4
26269 FBXO8
26301 GBGT1
26353 HSPB8
26354 GNL3
26517 TIMM13
26529 OR12D2
26994 RNF11
26995 TRUB2
27033 ZBTB32
27034 ACAD8
27039 PKD2L2
27077 B9D1
27079 RPUSD2
27086 FOXP1
27094 KCNMB3
27101 CACYBP
27113 BBC3
27127 SMC1B
27128 CYTH4
27129 HSPB7
27130 INVS
27141 CIDEB
27143 PALD1
27151 CPAMD8
27166 PRELID1
27231 NMRK2
27233 SULT1C4
27235 COQ2
27239 GPR162
27240 SIT1
27243 CHMP2A
27246 RNF115
27291 R3HCC1L
27306 HPGDS
27319 BHLHE22
27327 TNRC6A
27345 KCNMB4
27433 TOR2A
28511 NKIRAS2
28956 LAMTOR2
28964 GIT1
28972 SPCS1
28992 MACROD1
29063 ZCCHC4
29078 NDUFAF4
29087 THYN1
29101 SSU72
29104 N6AMT1
29117 BRD7
29119 CTNNA3
29763 PACSIN3
29767 TMOD2
29796 UQCR10
29803 REPIN1
29887 SNX10
29888 STRN4
29895 MYLPF
29914 UBIAD1
29915 HCFC2
29919 C18orf8
29923 HILPDA
29928 TIMM22
29942 PURG
29943 PADI1
29945 ANAPC4
29954 POMT2
29957 SLC25A24
29989 OBP2B
29993 PACSIN1
29994 BAZ2B
29995 LMCD1
29998 GLTSCR1
29999 FSCN3
30000 TNPO2
30812 SOX8
30813 VSX1
30815 ST6GALNAC6
30816 ERVW-1
30819 KCNIP2
49855 SCAPER
50488 MINK1
50509 COL5A3
50626 CYHR1
50650 ARHGEF3
50651 SLC45A1
50805 IRX4
50854 C6orf48
50862 RNF141
50939 IMPG2
51002 TPRKB
51003 MED31
51004 COQ6
51021 MRPS16
51022 GLRX2
51043 ZBTB7B
51074 APIP
51091 SEPSECS
51092 SIDT2
51096 UTP18
51098 IFT52
51117 COQ4
51129 ANGPTL4
51134 CEP83
51136 RNFT1
51142 CHCHD2
51144 HSD17B12
51147 ING4
51168 MYO15A
51174 TUBD1
51192 CKLF
51195 RAPGEFL1
51196 PLCE1
51200 CPA4
51224 TCEB3B
51228 GLTP
51232 CRIM1
51247 PAIP2
51251 NT5C3A
51255 RNF181
51257 MARCH2
51272 BET1L
51290 ERGIC2
51293 CD320
51301 GCNT4
51306 FAM13B
51307 FAM53C
51308 REEP2
51318 MRPL35
51319 RSRC1
51324 SPG21
51332 SPTBN5
51333 ZNF771
51341 ZBTB7A
51373 MRPS17
51377 UCHL5
51426 POLK
51427 ZNF107
51441 YTHDF2
51449 PCYOX1
51460 SFMBT1
51471 NAT8B
51474 LIMA1
51477 ISYNA1
51504 TRMT112
51506 UFC1
51514 DTL
51520 LARS
51523 CXXC5
51538 ZCCHC17
51559 NT5DC3
51588 PIAS4
51608 GET4
51611 DPH5
51619 UBE2D4
51642 MRPL48
51646 YPEL5
51647 FAM96B
51652 CHMP3
51654 CDK5RAP1
51655 RASD1
51657 STYXL1
51725 FBXO40
51733 UPB1
51738 GHRL
51744 CD244
51750 RTEL1
51752 ERAP1
51754 TMEM8B
51755 CDK12
51760 SYT17
51761 ATP8A2
51773 RSF1
51780 KDM3B
53342 IL17D
53349 ZFYVE1
53917 RAB24
53947 A4GALT
54014 BRWD1
54058 C21orf58
54059 YBEY
54103 GSAP
54187 NANS
54329 GPR85
54438 GFOD1
54439 RBM27
54456 MOV10L1
54460 MRPS21
54480 CHPF2
54490 UGT2B28
54497 HEATR5B
54511 HMGCLL1
54535 CCHCR1
54567 DLL4
54587 MXRA8
54620 FBXL19
54622 ARL15
54629 FAM63B
54664 TMEM106B
54665 RSBN1
54681 P4HTM
54700 RRN3
54715 RBFOX1
54741 LEPROT
54753 ZNF853
54764 ZRANB1
54805 CNNM2
54807 ZNF586
54814 QPCTL
54820 NDE1
54832 VPS13C
54836 BSPRY
54838 WBP1L
54850 FBXL12
54852 PAQR5
54856 GON4L
54861 SNRK
54867 TMEM214
54870 QRICH1
54879 ST7L
54881 TEX10
54886 LPPR1
54887 UHRF1BP1
54888 NSUN2
54891 INO80D
54894 RNF43
54897 CASZ1
54902 TTC19
54908 SPDL1
54914 FOCAD
54921 CHTF8
54922 RASIP1
54923 LIME1
54925 ZSCAN32
54926 UBE2R2
54931 TRMT10C
54940 OCIAD1
54970 TTC12
54973 CPSF3L
54978 SLC35F6
54980 C2orf42
54987 C1orf123
54993 ZSCAN2
